,__REALTIME_TIMESTAMP,UTC,Master Offset,Frequency,Path Delay
50,1596440725,45:25,680,20474,24961
51,1596440726,45:26,20,20018,24965
52,1596440727,45:27,355,20359,24942
53,1596440728,45:28,234,20344,24942
54,1596440729,45:29,-896,19284,24942
55,1596440730,45:30,234,20145,24901
56,1596440731,45:31,-32,19950,24901
57,1596440732,45:32,-390,19582,24822
58,1596440733,45:33,-382,19473,24822
59,1596440734,45:34,856,20596,24716
60,1596440735,45:35,240,20237,24738
61,1596440736,45:36,-281,19788,24738
62,1596440737,45:37,-331,19654,24738
63,1596440738,45:38,-704,19182,24781
64,1596440739,45:39,202,19876,24786
65,1596440740,45:40,832,20567,24781
66,1596440741,45:41,-365,19620,24781
67,1596440742,45:42,-764,19111,24786
68,1596440743,45:43,-179,19467,24786
69,1596440744,45:44,766,20358,24786
70,1596440745,45:45,541,20363,24771
71,1596440746,45:46,292,20276,24771
72,1596440747,45:47,-346,19726,24793
73,1596440748,45:48,-361,19607,24793
74,1596440749,45:49,127,19987,24771
75,1596440750,45:50,-184,19714,24774
76,1596440751,45:51,341,20184,24774
77,1596440752,45:52,-227,19718,24817
78,1596440753,45:53,41,19918,24851
79,1596440754,45:54,-98,19791,24851
80,1596440755,45:55,-217,19643,24856
81,1596440756,45:56,-124,19671,24856
82,1596440757,45:57,370,20128,24856
83,1596440758,45:58,550,20419,24887
84,1596440759,45:59,-457,19577,24887
85,1596440760,46:00,299,20195,24808
86,1596440761,46:01,-173,19813,24808
87,1596440762,46:02,-538,19396,24879
88,1596440763,46:03,-6873,12900,24792
89,1596440764,46:04,7234,24945,24753
90,1596440765,46:05,2240,22121,24792
91,1596440766,46:06,-493,20060,24842
92,1596440767,46:07,-1124,19281,24842
93,1596440768,46:08,-104,19964,24792
94,1596440769,46:09,336,20373,24698
95,1596440770,46:10,-632,19506,24966
96,1596440771,46:11,-384,19564,24966
97,1596440772,46:12,464,20297,24966
98,1596440773,46:13,-357,19615,24966
99,1596440774,46:14,568,20433,24894
100,1596440775,46:15,-458,19577,24894
101,1596440776,46:16,-343,19555,24917
102,1596440777,46:17,-6948,12847,24894
103,1596440778,46:18,6602,24313,24894
104,1596440779,46:19,2322,22013,24917
105,1596440780,46:20,122,20510,24917
106,1596440781,46:21,-583,19841,24735
107,1596440782,46:22,-454,19796,24735
108,1596440783,46:23,327,20440,24735
109,1596440784,46:24,-750,19461,24735
110,1596440785,46:25,-110,19876,24782
111,1596440786,46:26,380,20333,24714
112,1596440787,46:27,-131,19936,24714
113,1596440788,46:28,-116,19912,24714
114,1596440789,46:29,168,20161,24746
115,1596440790,46:30,-505,19539,24782
116,1596440791,46:31,-456,19436,24754
117,1596440792,46:32,290,20045,24754
118,1596440793,46:33,51,19893,24754
119,1596440794,46:34,166,20024,24724
120,1596440795,46:35,-141,19767,24737
121,1596440796,46:36,445,20310,24737
122,1596440797,46:37,134,20133,24771
123,1596440798,46:38,-151,19888,24771
124,1596440799,46:39,-569,19425,24809
125,1596440800,46:40,384,20207,24771
126,1596440801,46:41,-441,19497,24802
127,1596440802,46:42,622,20428,24802
128,1596440803,46:43,140,20132,24811
129,1596440804,46:44,-488,19546,24811
130,1596440805,46:45,255,20143,24828
131,1596440806,46:46,-418,19547,24839
132,1596440807,46:47,-109,19730,24859
133,1596440808,46:48,48,19854,24859
134,1596440809,46:49,198,20019,24890
135,1596440810,46:50,267,20147,24925
136,1596440811,46:51,83,20043,24925
137,1596440812,46:52,-1146,18839,24965
138,1596440813,46:53,-91,19550,24925
139,1596440814,46:54,11,19625,24890
140,1596440815,46:55,437,20054,24818
141,1596440816,46:56,264,20013,24828
142,1596440817,46:57,1177,21005,24746
143,1596440818,46:58,-793,19388,24746
144,1596440819,46:59,-79,19864,24697
145,1596440820,47:00,-251,19668,24679
146,1596440821,47:01,332,20176,24679
147,1596440822,47:02,-318,19626,24746
148,1596440823,47:03,-82,19766,24675
149,1596440824,47:04,562,20386,24675
150,1596440825,47:05,-809,19183,24787
151,1596440826,47:06,123,19872,24604
152,1596440827,47:07,582,20368,24604
153,1596440828,47:08,-178,19783,24798
154,1596440829,47:09,571,20479,24733
155,1596440830,47:10,-440,19639,24864
156,1596440831,47:11,159,20106,24729
157,1596440832,47:12,-525,19470,24864
158,1596440833,47:13,179,20016,24729
159,1596440834,47:14,962,20853,24729
160,1596440835,47:15,-742,19437,24864
161,1596440836,47:16,501,20458,24864
162,1596440837,47:17,-402,19705,24864
163,1596440838,47:18,-278,19708,24864
164,1596440839,47:19,623,20526,24864
165,1596440840,47:20,-997,19093,24895
166,1596440841,47:21,-181,19610,24895
167,1596440842,47:22,393,20130,24828
168,1596440843,47:23,-324,19530,24895
169,1596440844,47:24,460,20217,24828
170,1596440845,47:25,449,20344,24905
171,1596440846,47:26,-836,19194,24905
172,1596440847,47:27,-6786,12993,24828
173,1596440848,47:28,7302,25045,24760
174,1596440849,47:29,2156,22090,24838
175,1596440850,47:30,-223,20358,24838
176,1596440851,47:31,-446,20068,25029
177,1596440852,47:32,-808,19572,25029
178,1596440853,47:33,-1497,18641,25110
179,1596440854,47:34,-57,19632,25110
180,1596440855,47:35,79,19750,25065
181,1596440856,47:36,21,19716,24984
182,1596440857,47:37,359,20060,24984
183,1596440858,47:38,329,20138,24984
184,1596440859,47:39,-429,19479,24984
185,1596440860,47:40,237,20016,24984
186,1596440861,47:41,414,20264,24911
187,1596440862,47:42,-20,19954,24875
188,1596440863,47:43,152,20120,24846
189,1596440864,47:44,94,20108,24846
190,1596440865,47:45,351,20393,24818
191,1596440866,47:46,201,20349,24846
192,1596440867,47:47,-1028,19180,24875
193,1596440868,47:48,-445,19454,24875
194,1596440869,47:49,886,20652,24875
195,1596440870,47:50,-403,19629,24944
196,1596440871,47:51,-239,19672,24944
197,1596440872,47:52,-31,19808,24944
198,1596440873,47:53,436,20266,24970
199,1596440874,47:54,-871,19090,25060
200,1596440875,47:55,-312,19387,25060
201,1596440876,47:56,1226,20832,24970
202,1596440877,47:57,-330,19644,24970
203,1596440878,47:58,-141,19734,24894
204,1596440879,47:59,557,20389,24736
205,1596440880,48:00,-149,19850,24736
206,1596440881,48:01,156,20111,24736
207,1596440882,48:02,34,20035,24657
208,1596440883,48:03,-153,19859,24657
209,1596440884,48:04,-387,19579,24730
210,1596440885,48:05,-72,19778,24698
211,1596440886,48:06,-213,19615,24675
212,1596440887,48:07,296,20060,24675
213,1596440888,48:08,-378,19475,24698
214,1596440889,48:09,1068,20808,24698
215,1596440890,48:10,-157,19903,24698
216,1596440891,48:11,-487,19526,24722
217,1596440892,48:12,573,20440,24722
218,1596440893,48:13,-183,19856,24754
219,1596440894,48:14,981,20965,24722
220,1596440895,48:15,-273,20005,24722
221,1596440896,48:16,-282,19914,24721
222,1596440897,48:17,-458,19654,24752
223,1596440898,48:18,-627,19347,24807
224,1596440899,48:19,591,20377,24807
225,1596440900,48:20,701,20664,24807
226,1596440901,48:21,-1036,19138,24870
227,1596440902,48:22,-265,19598,24870
228,1596440903,48:23,-255,19528,24870
229,1596440904,48:24,1119,20826,24699
230,1596440905,48:25,7,20050,24699
231,1596440906,48:26,-441,19604,24730
232,1596440907,48:27,-306,19606,24783
233,1596440908,48:28,-441,19380,24783
234,1596440909,48:29,262,19950,24816
235,1596440910,48:30,254,20021,24735
236,1596440911,48:31,-260,19583,24750
237,1596440912,48:32,524,20289,24789
238,1596440913,48:33,696,20618,24803
239,1596440914,48:34,-1250,18881,24905
240,1596440915,48:35,815,20571,24839
241,1596440916,48:36,-805,19196,25106
242,1596440917,48:37,-164,19595,25106
243,1596440918,48:38,-204,19506,25106
244,1596440919,48:39,336,19985,25106
245,1596440920,48:40,-10537,9212,25102
246,1596440921,48:41,11697,28285,24875
247,1596440922,48:42,3579,23676,24875
248,1596440923,48:43,-100,21071,24875
249,1596440924,48:44,-2093,19048,25211
250,1596440925,48:45,-726,19787,24875
251,1596440926,48:46,-781,19514,24875
252,1596440927,48:47,712,20773,24855
253,1596440928,48:48,-1583,18692,25280
254,1596440929,48:49,-187,19613,25280
255,1596440930,48:50,305,20049,25280
256,1596440931,48:51,52,19887,25280
257,1596440932,48:52,202,20053,25020
258,1596440933,48:53,-170,19741,24816
259,1596440934,48:54,554,20414,24821
260,1596440935,48:55,-299,19728,24852
261,1596440936,48:56,-167,19770,24852
262,1596440937,48:57,34,19921,24835
263,1596440938,48:58,381,20278,24861
264,1596440939,48:59,-307,19704,24861
265,1596440940,49:00,403,20322,24861
266,1596440941,49:01,-250,19790,24904
267,1596440942,49:02,283,20248,24887
268,1596440943,49:03,-881,19169,24961
269,1596440944,49:04,654,20440,24887
270,1596440945,49:05,-397,19585,24887
271,1596440946,49:06,-151,19712,24841
272,1596440947,49:07,740,20558,24841
273,1596440948,49:08,-1139,18901,24915
274,1596440949,49:09,533,20231,24915
275,1596440950,49:10,-95,19763,24915
276,1596440951,49:11,-156,19673,24915
277,1596440952,49:12,59,19841,24915
278,1596440953,49:13,316,20116,24868
279,1596440954,49:14,63,19958,24868
280,1596440955,49:15,785,20699,24806
281,1596440956,49:16,-702,19447,24868
282,1596440957,49:17,166,20105,24868
283,1596440958,49:18,154,20143,24883
284,1596440959,49:19,-946,19089,24883
285,1596440960,49:20,145,19896,24822
286,1596440961,49:21,155,19949,24748
287,1596440962,49:22,754,20595,24748
288,1596440963,49:23,-472,19595,24822
289,1596440964,49:24,401,20327,24822
290,1596440965,49:25,-29,20017,24883
