,__REALTIME_TIMESTAMP,UTC,Master Offset,Frequency,Path Delay
0,1596440675,44:35,12696,25734,19370
1,1596440676,44:36,-2071,14775,22495
2,1596440677,44:37,8915,25140,22495
3,1596440678,44:38,-6267,12633,25610
4,1596440679,44:39,10588,27607,23127
5,1596440680,44:40,-6402,13794,25610
6,1596440681,44:41,6644,24919,25610
7,1596440682,44:42,1078,21346,25717
8,1596440683,44:43,-174,20418,25717
9,1596440684,44:44,-659,19881,25717
10,1596440685,44:45,-29,20313,25133
11,1596440686,44:46,-7440,12893,25133
12,1596440687,44:47,6786,24887,25009
13,1596440688,44:48,-9363,10774,24930
14,1596440689,44:49,10443,27771,24930
15,1596440690,44:50,3213,23674,24930
16,1596440691,44:51,-1007,20418,25009
17,1596440692,44:52,-7969,13154,24930
18,1596440693,44:53,5784,24516,24898
19,1596440694,44:54,1697,22164,24898
20,1596440695,44:55,-1672,19304,25270
21,1596440696,44:56,-771,19704,25270
22,1596440697,44:57,-7716,12528,25270
23,1596440698,44:58,6620,24549,25270
24,1596440699,44:59,1300,21215,25270
25,1596440700,45:00,-63,20242,25313
26,1596440701,45:01,236,20522,25077
27,1596440702,45:02,-1085,19272,25289
28,1596440703,45:03,-624,19407,25139
29,1596440704,45:04,712,20556,25009
30,1596440705,45:05,163,20221,24941
31,1596440706,45:06,-1023,19083,24986
32,1596440707,45:07,-372,19428,24986
33,1596440708,45:08,798,20486,24945
34,1596440709,45:09,-114,19813,24945
35,1596440710,45:10,329,20222,24857
36,1596440711,45:11,160,20152,24857
37,1596440712,45:12,-641,19399,24857
38,1596440713,45:13,491,20339,24887
39,1596440714,45:14,81,20076,24887
40,1596440715,45:15,-210,19809,24896
41,1596440716,45:16,110,20066,24835
42,1596440717,45:17,-790,19199,24835
43,1596440718,45:18,-254,19498,24835
44,1596440719,45:19,96,19772,24899
45,1596440720,45:20,939,20644,24899
46,1596440721,45:21,-443,19543,24962
47,1596440722,45:22,-433,19421,24972
48,1596440723,45:23,44,19768,24972
49,1596440724,45:24,189,19926,24961
