,__REALTIME_TIMESTAMP,UTC,Master Offset,Frequency,Path Delay
0,1597136099,54:59,-1102,18758,24772
1,1597136100,55:00,26,19555,24772
2,1597136101,55:01,-726,18811,24912
3,1597136102,55:02,731,20050,24912
4,1597136103,55:03,-605,18933,24940
5,1597136104,55:04,176,19533,24872
6,1597136105,55:05,793,20203,24872
7,1597136106,55:06,-732,18915,24979
8,1597136107,55:07,-381,19047,24940
9,1597136108,55:08,-53,19261,24940
10,1597136109,55:09,480,19778,24880
11,1597136110,55:10,129,19571,24880
12,1597136111,55:11,-388,19092,24979
13,1597136112,55:12,333,19697,24979
14,1597136113,55:13,-78,19386,24884
15,1597136114,55:14,-141,19299,24884
16,1597136115,55:15,456,19854,24824
17,1597136116,55:16,-302,19233,24819
18,1597136117,55:17,-160,19284,24819
19,1597136118,55:18,710,20106,24805
20,1597136119,55:19,-431,19178,24805
21,1597136120,55:20,-192,19288,24805
22,1597136121,55:21,197,19619,24805
23,1597136122,55:22,33,19515,24805
24,1597136123,55:23,786,20277,24782
25,1597136124,55:24,-657,19070,24782
26,1597136125,55:25,132,19662,24801
27,1597136126,55:26,25,19595,24801
28,1597136127,55:27,-1315,18262,24860
29,1597136128,55:28,613,19796,24860
30,1597136129,55:29,-23,19344,24833
31,1597136130,55:30,1158,20518,24812
32,1597136131,55:31,-297,19410,24812
33,1597136132,55:32,-661,18957,24833
34,1597136133,55:33,21,19441,24833
35,1597136134,55:34,980,20406,24813
36,1597136135,55:35,-156,19564,24813
37,1597136136,55:36,-450,19223,24855
38,1597136137,55:37,290,19828,24855
39,1597136138,55:38,-494,19131,25102
40,1597136139,55:39,-231,19246,25102
41,1597136140,55:40,-58,19350,25102
42,1597136141,55:41,209,19599,25102
43,1597136142,55:42,-150,19303,25029
44,1597136143,55:43,497,19905,25029
45,1597136144,55:44,-240,19317,25045
46,1597136145,55:45,486,19971,24762
47,1597136146,55:46,1215,20846,24762
48,1597136147,55:47,-386,19609,24926
49,1597136148,55:48,-994,18886,24926
50,1597136149,55:49,-133,19448,24657
51,1597136150,55:50,119,19661,24701
52,1597136151,55:51,558,20135,24701
53,1597136152,55:52,-936,18809,24809
54,1597136153,55:53,4,19468,24809
55,1597136154,55:54,802,20267,24701
56,1597136155,55:55,-429,19277,24701
57,1597136156,55:56,787,20364,24676
58,1597136157,55:57,-489,19324,24688
59,1597136158,55:58,496,20162,24688
60,1597136159,55:59,-1149,18666,24688
61,1597136160,56:00,69,19539,24674
62,1597136161,56:01,-107,19384,24674
63,1597136162,56:02,597,20056,24674
64,1597136163,56:03,-611,19027,24689
65,1597136164,56:04,53,19508,24689
66,1597136165,56:05,939,20410,24761
67,1597136166,56:06,104,19856,24761
68,1597136167,56:07,67,19851,24825
69,1597136168,56:08,72,19876,24825
70,1597136169,56:09,-603,19222,24882
71,1597136170,56:10,-240,19404,24882
72,1597136171,56:11,-114,19458,24825
73,1597136172,56:12,28,19566,24824
74,1597136173,56:13,128,19675,24851
75,1597136174,56:14,-80,19505,24903
76,1597136175,56:15,61,19622,24903
77,1597136176,56:16,787,20366,24851
78,1597136177,56:17,-822,18993,24903
79,1597136178,56:18,818,20387,24903
80,1597136179,56:19,-250,19564,24935
81,1597136180,56:20,-121,19618,25037
82,1597136181,56:21,-898,18805,25037
83,1597136182,56:22,-178,19256,24983
84,1597136183,56:23,421,19801,24983
85,1597136184,56:24,121,19627,24983
86,1597136185,56:25,75,19618,24798
87,1597136186,56:26,690,20255,24706
88,1597136187,56:27,-358,19414,24706
89,1597136188,56:28,727,20392,24706
