,__REALTIME_TIMESTAMP,UTC,Master Offset,Frequency,Path Delay
0,1596444172,42:52,18727,26101,24869
1,1596444173,42:53,12753,38854,25260
2,1596444174,42:54,-7176,22751,25452
3,1596444175,42:55,-10643,17131,25651
4,1596444176,42:56,-7398,17183,25253
5,1596444177,42:57,-11072,11290,25061
6,1596444178,42:58,-2511,16529,25061
7,1596444179,42:59,8056,26343,24869
8,1596444180,43:00,824,21528,24940
9,1596444181,43:01,-1402,19549,25047
10,1596444182,43:02,-1207,19323,24929
11,1596444183,43:03,-127,20041,24873
12,1596444184,43:04,-968,19162,24873
13,1596444185,43:05,-6290,13550,24664
14,1596444186,43:06,6652,24605,24664
15,1596444187,43:07,-5392,14556,25002
16,1596444188,43:08,7137,25468,25002
17,1596444189,43:09,-5659,14813,24996
18,1596444190,43:10,6415,25189,24996
19,1596444191,43:11,470,21169,25267
20,1596444192,43:12,-815,20025,25267
21,1596444193,43:13,-1300,19295,25264
22,1596444194,43:14,-878,19327,25264
23,1596444195,43:15,-408,19534,25265
24,1596444196,43:16,423,20242,24941
25,1596444197,43:17,-11552,8394,24913
26,1596444198,43:18,10927,27408,24871
27,1596444199,43:19,-3058,16701,24871
28,1596444200,43:20,6332,25173,24871
29,1596444201,43:21,-10290,10451,24871
30,1596444202,43:22,10892,28546,24797
31,1596444203,43:23,-4810,16112,24797
32,1596444204,43:24,7853,27332,23174
33,1596444205,43:25,550,22385,23174
34,1596444206,43:26,-2431,19569,23291
35,1596444207,43:27,-8408,12862,23100
36,1596444208,43:28,5099,23847,23100
37,1596444209,43:29,-7513,12765,24906
38,1596444210,43:30,5833,23857,24906
39,1596444211,43:31,2313,22087,25077
40,1596444212,43:32,102,20569,25077
41,1596444213,43:33,-1427,19071,25137
42,1596444214,43:34,-846,19224,25137
43,1596444215,43:35,-165,19651,25077
44,1596444216,43:36,-210,19557,24959
45,1596444217,43:37,-100,19604,24959
46,1596444218,43:38,394,20068,24959
47,1596444219,43:39,-39,19753,24959
48,1596444220,43:40,-66,19714,24835
49,1596444221,43:41,299,20059,24778
50,1596444222,43:42,526,20376,24778
51,1596444223,43:43,55,20063,24778
52,1596444224,43:44,-487,19537,24778
53,1596444225,43:45,-7218,12660,24778
54,1596444226,43:46,6430,24143,24778
55,1596444227,43:47,2112,21754,24778
56,1596444228,43:48,309,20584,24817
57,1596444229,43:49,-1006,19362,24912
58,1596444230,43:50,709,20775,24912
59,1596444231,43:51,-1099,19180,25034
60,1596444232,43:52,-419,19530,24912
61,1596444233,43:53,597,20421,24912
62,1596444234,43:54,604,20607,24912
63,1596444235,43:55,-1056,19128,24912
64,1596444236,43:56,-423,19444,24823
65,1596444237,43:57,323,20063,24707
66,1596444238,43:58,319,20156,24667
67,1596444239,43:59,347,20280,24667
68,1596444240,44:00,-72,19965,24667
69,1596444241,44:01,-377,19638,24667
70,1596444242,44:02,-165,19737,24740
71,1596444243,44:03,54,19907,24740
72,1596444244,44:04,-411,19458,24805
73,1596444245,44:05,-24,19722,24765
74,1596444246,44:06,-5,19733,24765
75,1596444247,44:07,154,19891,24765
76,1596444248,44:08,1008,20791,24824
77,1596444249,44:09,-180,19906,24824
78,1596444250,44:10,-61,19971,24824
79,1596444251,44:11,-187,19826,24824
80,1596444252,44:12,-69,19888,24754
81,1596444253,44:13,-27,19909,24770
82,1596444254,44:14,-31,19897,24770
83,1596444255,44:15,19,19938,24783
84,1596444256,44:16,146,20071,24783
85,1596444257,44:17,-274,19695,24734
86,1596444258,44:18,-224,19662,24734
87,1596444259,44:19,118,19937,24682
88,1596444260,44:20,248,20103,24682
89,1596444261,44:21,93,20022,24682
90,1596444262,44:22,-229,19728,24682
91,1596444263,44:23,-310,19578,24682
92,1596444264,44:24,-358,19437,24682
93,1596444265,44:25,346,20034,24669
94,1596444266,44:26,-191,19601,24850
95,1596444267,44:27,279,20013,24775
96,1596444268,44:28,18,19836,24958
97,1596444269,44:29,232,20055,24958
98,1596444270,44:30,-125,19768,24958
99,1596444271,44:31,211,20066,24854
100,1596444272,44:32,-694,19225,24854
101,1596444273,44:33,-81,19630,24854
102,1596444274,44:34,444,20130,24801
103,1596444275,44:35,649,20468,24801
104,1596444276,44:36,-384,19630,24801
105,1596444277,44:37,-334,19565,24801
106,1596444278,44:38,-20,19779,24764
107,1596444279,44:39,221,20014,24764
108,1596444280,44:40,-280,19579,24764
109,1596444281,44:41,116,19891,24764
110,1596444282,44:42,534,20344,24764
111,1596444283,44:43,52,20022,24764
112,1596444284,44:44,-344,19642,24764
113,1596444285,44:45,-346,19536,24791
114,1596444286,44:46,639,20418,24791
115,1596444287,44:47,-242,19728,24791
116,1596444288,44:48,-482,19416,24803
117,1596444289,44:49,824,20577,24803
118,1596444290,44:50,-144,19856,24858
119,1596444291,44:51,-889,19068,24892
120,1596444292,44:52,-175,19515,24892
121,1596444293,44:53,741,20379,24889
122,1596444294,44:54,761,20621,24889
123,1596444295,44:55,-987,19102,24903
124,1596444296,44:56,14,19806,24889
125,1596444297,44:57,1,19798,24889
126,1596444298,44:58,17,19814,24790
127,1596444299,44:59,1103,20905,24693
128,1596444300,45:00,-595,19538,24693
129,1596444301,45:01,417,20371,24693
130,1596444302,45:02,-727,19353,24750
131,1596444303,45:03,464,20325,24750
132,1596444304,45:04,-833,19168,24834
133,1596444305,45:05,740,20491,24711
134,1596444306,45:06,519,20492,24711
135,1596444307,45:07,-675,19453,24755
136,1596444308,45:08,346,20272,24755
137,1596444309,45:09,-268,19762,24755
138,1596444310,45:10,-157,19792,24755
139,1596444311,45:11,69,19971,24859
140,1596444312,45:12,-2487,17436,24969
141,1596444313,45:13,2192,21369,24969
142,1596444314,45:14,1069,20903,24970
143,1596444315,45:15,-121,20034,25015
144,1596444316,45:16,21,20140,24970
145,1596444317,45:17,-623,19502,24970
146,1596444318,45:18,282,20220,24925
147,1596444319,45:19,414,20437,24948
148,1596444320,45:20,-579,19568,24992
149,1596444321,45:21,-695,19278,24948
150,1596444322,45:22,606,20371,24789
151,1596444323,45:23,-181,19766,24789
152,1596444324,45:24,132,20024,24822
153,1596444325,45:25,-410,19522,24868
154,1596444326,45:26,349,20158,24868
155,1596444327,45:27,63,19977,24895
